item_name,current_price,old_price_element,item_discount_element,item_link
Napkin Rings Rhinestone Napkin Rings Adornment For Wedding,1629.0,2525.0,35.0,/generic-napkin-rings-rhinestone-napkin-rings-adornment-for-wedding-105841263.html
 Locking Forceps Curved Mosquito Hemostat Tool 6.3 Inch,630.0,1147.0,45.0,/generic-locking-forceps-curved-mosquito-hemostat-tool-6.3-inch-106710148.html
4 Pcs Set Refrigerator Food Preservation Storage Box,3300.0,5115.0,35.0,/generic-4-pcs-set-refrigerator-food-preservation-storage-box-103291974.html
USB Gaming Keyboard Mouse Converter Plug and Play Bluetooth,1854.0,3374.0,45.0,/generic-usb-gaming-keyboard-mouse-converter-plug-and-play-bluetooth-104321623.html
1645981-00-A Right Front Hood Birbag Bracket for 2021 2022,3472.0,6320.0,45.0,/generic-1645981-00-a-right-front-hood-birbag-bracket-for-2021-2022-139829995.html
Fashion Car Interior Decor Rear View Mirror Hanging,299.0,545.0,45.0,/generic-fashion-car-interior-decor-rear-view-mirror-hanging-103326939.html
100 Pieces WS2812B WS2812 LED Chip & Heatsink 5V,1569.0,2432.0,35.0,/generic-100-pieces-ws2812b-ws2812-led-chip-heatsink-5v-105519297.html
PCB Solder Orange Flexible 0.5mm Outside Dia 30AWG Wire,1100.0,2122.0,48.0,/generic-pcb-solder-orange-flexible-0.5mm-outside-dia-30awg-wire-99618482.html
Sublimation Blank Keychains PU Keychain Pendant Heat,2381.0,4333.0,45.0,/generic-sublimation-blank-keychains-pu-keychain-pendant-heat-139834699.html
10Pcs Simulation Berries Mini Flower Wreath,1106.0,1712.0,35.0,/generic-10pcs-simulation-berries-mini-flower-wreath-106843502.html
5Pcs Coffee Machine Brush with Spoon Coffee Grinder Brush,747.0,1360.0,45.0,/generic-5pcs-coffee-machine-brush-with-spoon-coffee-grinder-brush-103464039.html
"Clothes Steamer,Portable Vertical Steam Iron 1500W 280ML",7482.0,12943.0,42.0,/clothes-steamerportable-vertical-steam-iron-1500w-280ml-generic-mpg722775.html
Mini DV 5V-12V 120W ZVS Heating Machine 120W High Frequency,947.0,1724.0,45.0,/generic-mini-dv-5v-12v-120w-zvs-heating-machine-120w-high-frequency-104128392.html
DC Automatic Buck Boost Converter DC 8V-40V To 13.8V 10A,3389.0,5864.0,42.0,/generic-dc-automatic-buck-boost-converter-dc-8v-40v-to-13.8v-10a-99628626.html
Dust Remover Water Sprayer for Cutting Machine for,1481.0,2697.0,45.0,/generic-dust-remover-water-sprayer-for-cutting-machine-for-91411909.html
KINGHICO SSD 2.5-Inch SATA3.0 Built-in Solid State Drive,2980.0,5155.0,42.0,/generic-kinghico-ssd-2.5-inch-sata3.0-built-in-solid-state-drive-87272440.html
30A Contact RGB RF Remote Control DC 12V 24V 3Channelx10A,2246.0,3886.0,42.0,/generic-30a-contact-rgb-rf-remote-control-dc-12v-24v-3channelx10a-85767460.html
Multifunctional Plastic Fresh-Keeping Cover Kitchen,2982.0,5427.0,45.0,/generic-multifunctional-plastic-fresh-keeping-cover-kitchen-107393262.html
Remote for Grundig SMART LCD TV Replace Remote Control,773.0,1330.0,42.0,/generic-remote-for-grundig-smart-lcd-tv-replace-remote-control-106139204.html
BU KING 60G SSD 2.5-Inch SATA III 6.0Gbps 500M/S Computer,2564.0,4435.0,42.0,/generic-bu-king-60g-ssd-2.5-inch-sata-iii-6.0gbps-500ms-computer-87270731.html
The Filter Filtration Strainer Infuser Ball  Stainless,180.0,312.0,42.0,/generic-the-filter-filtration-strainer-infuser-ball-stainless-99834452.html
7 Inch Touch Screen Glass Digitizer GPS Navigation Radio,3531.0,6428.0,45.0,/generic-7-inch-touch-screen-glass-digitizer-gps-navigation-radio-110512821.html
6 Wavelengths Mini Optical Power Meter Tester -70To10,2645.0,5104.0,48.0,/generic-6-wavelengths-mini-optical-power-meter-tester-70to10-87239505.html
For Surface Pen Case Stylus Sleeve Split Pencil Pen Sleeve,357.0,650.0,45.0,/generic-for-surface-pen-case-stylus-sleeve-split-pencil-pen-sleeve-107385022.html
150W Inverter Boost Module Car DC 12V To AC 110V 220V 20KHZ,1182.0,2281.0,48.0,/generic-150w-inverter-boost-module-car-dc-12v-to-ac-110v-220v-20khz-99619995.html
ZigBee3.0 Smart DIY Breaker Relay Switch on Off Tuya Smart,1052.0,1631.0,35.0,/generic-zigbee3.0-smart-diy-breaker-relay-switch-on-off-tuya-smart-90340287.html
Soft Laptop Bag 11 12 13.3 14 15 15.6 17 inch For Huawei Lenovo Xiaomi Hp Macbook Air Pro Case  M1 Sleeve Cover Handbag,4677.0,7992.0,41.0,/generic-soft-laptop-bag-11-12-13.3-14-15-15.6-17-inch-for-huawei-lenovo-xiaomi-hp-macbook-air-pro-case-m1-sleeve-cover-handbag-193264381.html
2x Solid Wood Cabinet/Couch/Sofa/Table Furniture Legs,1184.0,1954.0,39.0,/generic-2x-solid-wood-cabinetcouchsofatable-furniture-legs-191941665.html
Laptop Case Shockproof Shoulder Bag For MacBook Pro 14 M1 Air 13 Dell Lenovo HP Acer Messenger Handbag Briefcase for Men Women,6231.0,10656.0,42.0,/generic-laptop-case-shockproof-shoulder-bag-for-macbook-pro-14-m1-air-13-dell-lenovo-hp-acer-messenger-handbag-briefcase-for-men-women-193258419.html
Diamond Starburst Necklace Starry Night Rhinestone Choker for Women Silver,268.0,403.0,33.0,/generic-diamond-starburst-necklace-starry-night-rhinestone-choker-for-women-silver-192172189.html
Laptop Parts For MSI GP62 6QG GV62 GP62MVR GL62 GL62M 6QF MS-16J9 16J5 16JB LCD Back Cover Front Bezel Palmrest Bottom Case,46398.0,79920.0,42.0,/generic-laptop-parts-for-msi-gp62-6qg-gv62-gp62mvr-gl62-gl62m-6qf-ms-16j9-16j5-16jb-lcd-back-cover-front-bezel-palmrest-bottom-case-193266488.html
Camping Lunch Box Folding Handle Aluminum Camping Bento,2740.0,5210.0,47.0,/generic-camping-lunch-box-folding-handle-aluminum-camping-bento-192548388.html
"AMOLED Material LCD Screen And Digitizer Fullembly For Tecno Pouvoir 3 Plus LB8, LB8a",16653.0,33226.0,50.0,/generic-amoled-material-lcd-screen-and-digitizer-fullembly-for-tecno-pouvoir-3-plus-lb8-lb8a-191984977.html
Chrome Letters A180 A200 A250 A260 A180d 4Matic ABS Emblem for Mercedes Benz A W176 W177 Car Trunk Nameplate Logo Sticker,4603.0,7844.0,41.0,/generic-chrome-letters-a180-a200-a250-a260-a180d-4matic-abs-emblem-for-mercedes-benz-a-w176-w177-car-trunk-nameplate-logo-sticker-192432551.html
clothes Foldable Drawer Organizer,4603.0,6138.0,25.0,/generic-clothes-foldable-drawer-organizer-192034153.html
4PCS Universal Car Front Bumper Lip Body Kit Spoiler Splitter Diffuser White Carbon Fiber Splitter ABS Plastic Car Accessories,16132.0,27676.0,42.0,/generic-4pcs-universal-car-front-bumper-lip-body-kit-spoiler-splitter-diffuser-white-carbon-fiber-splitter-abs-plastic-car-accessories-192457054.html
 For MSI GP75 GE75 GL75 MS-17E4 MS-17E2 Series Laptop LCD Back Cover Front Bezel Hinge Top Case Black GP75 GE75 GL75,19136.0,32856.0,42.0,/generic-for-msi-gp75-ge75-gl75-ms-17e4-ms-17e2-series-laptop-lcd-back-cover-front-bezel-hinge-top-case-black-gp75-ge75-gl75-193248725.html
Fashion ACE Anime Jujutsu Kaisen Gojo Satoru Cosplay Props Black Gles Steampunk Round Frame Eyewear Sungles Accessories Uni,2990.0,5032.0,41.0,/fashion-ace-anime-jujutsu-kaisen-gojo-satoru-cosplay-props-black-gles-steampunk-round-frame-eyewear-sungles-accessories-uni-192104511.html
For X-box Series X Console and 2 Controllers Wonderful Design Skin Sticker Protective Decal Cover Full Set,3700.0,6216.0,40.0,/generic-for-x-box-series-x-console-and-2-controllers-wonderful-design-skin-sticker-protective-decal-cover-full-set-192771753.html
915 Generation 50 PC floss toothpick,624.0,999.0,38.0,/915-generation-50-pc-floss-toothpick-192282732.html
Cat Paw Bag for Nntendos NS Lte Console Joycons Protect Game Bag For NS Swtch Storage Bag Lanyad Strng Game Card Case,3848.0,6512.0,41.0,/generic-cat-paw-bag-for-nntendos-ns-lte-console-joycons-protect-game-bag-for-ns-swtch-storage-bag-lanyad-strng-game-card-case-192901737.html
Retro Texture Case For Xiaomi Redmi 13C 5G / 13R 5G,799.0,1141.0,30.0,/generic-retro-texture-case-for-xiaomi-redmi-13c-5g-13r-5g-192011887.html
HT04 Sun Flower Leather Case For Xiaomi Redmi Note 13 Pro 4G Global,999.0,1427.0,30.0,/generic-ht04-sun-flower-leather-case-for-xiaomi-redmi-note-13-pro-4g-global-192096648.html
For Lenovo M10 FHD REL TB-X605F T-shaped Bracket Contrast Color Shockproof PC + Silicone Protective Case(Black + Blue),2812.0,4547.0,38.0,/generic-for-lenovo-m10-fhd-rel-tb-x605f-t-shaped-bracket-contrast-color-shockproof-pc-silicone-protective-caseblack-blue-192014534.html
PU Leather keyboard carrying case bag for planck 40% 60% 80% 100% gh60 xd64 tada68 87 tkl 104 Ansi bm60 bm65 bm68 Sleeve Cover,3360.0,5624.0,40.0,/generic-pu-leather-keyboard-carrying-case-bag-for-planck-40-60-80-100-gh60-xd64-tada68-87-tkl-104-ansi-bm60-bm65-bm68-sleeve-cover-193255056.html
1pcs 3D Metal Car Interior Dekoration Stickers Badges Auto Styling For Mercedes Benz Amg W204 W213 W205 W211 W212 W176 W205 W203,2797.0,4736.0,41.0,/generic-1pcs-3d-metal-car-interior-dekoration-stickers-badges-auto-styling-for-mercedes-benz-amg-w204-w213-w205-w211-w212-w176-w205-w203-192429505.html
Chrome Letters E200 E260 E300 E320 E350 E220d E400 E550 4Matic Top ABS Emblem for Mercedes Benz W212 Car Trunk Logo Sticker,4810.0,8140.0,41.0,/generic-chrome-letters-e200-e260-e300-e320-e350-e220d-e400-e550-4matic-top-abs-emblem-for-mercedes-benz-w212-car-trunk-logo-sticker-192431407.html
YT6 Wired Earbuds Universal Wire Control Metal-Rose Gold,475.0,713.0,33.0,/generic-yt6-wired-earbuds-universal-wire-control-metal-rose-gold-192383880.html
For SEAT Ibiza 6L 6K 1999 - 2006 Leon MK1 Toledo 1L 1M 5P Alhambra 7M AM/FM Roof Radio   Base Mast Seal Rod Pad,2516.0,4292.0,41.0,/generic-for-seat-ibiza-6l-6k-1999-2006-leon-mk1-toledo-1l-1m-5p-alhambra-7m-amfm-roof-radio-base-mast-seal-rod-pad-192489138.html
Cooling Shawl  Summer Anti  Green,740.0,1181.0,37.0,/generic-cooling-shawl-summer-anti-green-191820128.html
Mandala Flower Embossed PU Case For Nokia XR 20,699.0,998.0,30.0,/generic-mandala-flower-embossed-pu-case-for-nokia-xr-20-192077093.html
Laptop  Bags Case Female Notebook Sleeve Bag 10 12 13 14 15 17 15.6 13 Tablet Pouch For Huawei Xiaomi Honor Xpro Funda,5298.0,9028.0,41.0,/generic-laptop-bags-case-female-notebook-sleeve-bag-10-12-13-14-15-17-15.6-13-tablet-pouch-for-huawei-xiaomi-honor-xpro-funda-193276484.html
Arcade Game RGB/CGA/EGA/YUV To VGA HD Video Converter Board HD9800/GB200,5032.0,8436.0,40.0,/generic-arcade-game-rgbcgaegayuv-to-vga-hd-video-converter-board-hd9800gb200-191830039.html
M8 Video Game Console 64G 2.4G Double Wireless Controller Game Stick 4K 20000+ Games 64GB Retro Games Dropshipping,10804.0,18500.0,42.0,/generic-m8-video-game-console-64g-2.4g-double-wireless-controller-game-stick-4k-20000-games-64gb-retro-games-dropshipping-191829185.html
ll design For X BOX ONE X console sticker for X BOX ONE X vinyl sticker for xbox one X skin sticker-,3700.0,6364.0,42.0,/generic-ll-design-for-x-box-one-x-console-sticker-for-x-box-one-x-vinyl-sticker-for-xbox-one-x-skin-sticker-192777436.html
Chrome Letters C180 C200 C250 C300 C350 C400 C450 C220d C250d 4Matic Emblem for Mercedes Benz W205 Car Trunk Logo Sticker,4203.0,7104.0,41.0,/generic-chrome-letters-c180-c200-c250-c300-c350-c400-c450-c220d-c250d-4matic-emblem-for-mercedes-benz-w205-car-trunk-logo-sticker-192430621.html
Laptop Bag For MacBook Air 13 15 Pro 14 Dell Lenovo HP Asus Acer 13.3 15 17.3 Inch Men Women Messenger Handbag Briefcase Sleeve,8436.0,14504.0,42.0,/generic-laptop-bag-for-macbook-air-13-15-pro-14-dell-lenovo-hp-asus-acer-13.3-15-17.3-inch-men-women-messenger-handbag-briefcase-sleeve-193264800.html
1Set Portable Children Pocket Watercolor Coloring Book with and Brush Graffiti Coloring Book Set DIY ing Bookmark Art,3256.0,5476.0,41.0,/generic-1set-portable-children-pocket-watercolor-coloring-book-with-and-brush-graffiti-coloring-book-set-diy-ing-bookmark-art-198511523.html
"Stepped Acrylic Stands, Display Riser Clear Display Shelf, Four-tiers",3108.0,5065.0,39.0,/generic-stepped-acrylic-stands-display-riser-clear-display-shelf-four-tiers-191935735.html
Laptop Sleeve for Macbook Air 13 case M1 M2 A2681 A2179 A2338 mac book pro 14 A2779 A2442 Funda Cover Dell Huawei 13.3,5728.0,9768.0,41.0,/generic-laptop-sleeve-for-macbook-air-13-case-m1-m2-a2681-a2179-a2338-mac-book-pro-14-a2779-a2442-funda-cover-dell-huawei-13.3-193244662.html
For Dell G3 3590 G3 3500 P89F LCD Rear Lid Back Top Cover Front Bezel Palmrest Upper Bottom Base Case Housing Hinges Black White,7045.0,11988.0,41.0,/generic-for-dell-g3-3590-g3-3500-p89f-lcd-rear-lid-back-top-cover-front-bezel-palmrest-upper-bottom-base-case-housing-hinges-black-white-193272204.html
1 Pair Summer  Outdoor Golf Basketball  Grsy,740.0,1181.0,37.0,/generic-1-pair-summer-outdoor-golf-basketball-grsy-191818936.html
9W12W15W18W20W24W Anti-Glare Recessed White Ul-thin LED Downlight Epistar Chip AC90V-260V Dimmable COB Ceiling Lamp Spotlight,7622.0,13024.0,41.0,/generic-9w12w15w18w20w24w-anti-glare-recessed-white-ul-thin-led-downlight-epistar-chip-ac90v-260v-dimmable-cob-ceiling-lamp-spotlight-192142711.html
For Escape F150 E150 E250 F250 Explorer Flex Chrome Green Emblem Rear Trunk Fender Door Logo Nameplate,3670.0,6216.0,41.0,/generic-for-escape-f150-e150-e250-f250-explorer-flex-chrome-green-emblem-rear-trunk-fender-door-logo-nameplate-192440671.html
Fashion Round Neck Sleeveless Printed Beach Dress-White,3698.0,7396.0,50.0,/fashion-round-neck-sleeveless-printed-beach-dress-white-72367970.html
Ooking Food Meat Dial Stainless Steel Oven   Temperature  -Silver,970.0,1930.0,50.0,/generic-ooking-food-meat-dial-stainless-steel-oven-temperature-silver-187157599.html
Durable Pet Toy Storage Basket Pet Haven Storage Box Organize Toys Dark Gray,2603.0,3906.0,33.0,/generic-durable-pet-toy-storage-basket-pet-haven-storage-box-organize-toys-dark-gray-157629913.html
Fashion Women's Loose Yoga Pants Running Sports Trousers,2900.0,3200.0,9.0,/fashion-womens-loose-yoga-pants-running-sports-trousers-192551302.html
Fashion Women A Lace Up Hollow Out Peep Toe Suede Platform S,4589.0,7869.0,42.0,/fashion-women-a-lace-up-hollow-out-peep-toe-suede-platform-s-206912740.html
Flowers erfly for Macbook Air 13 Case M2 Pro 12 14 Inch Cover for Macbook Pro 13 M1 Hard A2337 13.6 A2681,5180.0,8880.0,42.0,/generic-flowers-erfly-for-macbook-air-13-case-m2-pro-12-14-inch-cover-for-macbook-pro-13-m1-hard-a2337-13.6-a2681-193283196.html
"Sleeve Case Laptop Bag For 11 12 13 14 15 15.6 inch For ipad 9.7"" Bags For MacBook Air Pro 13.3 15.4 Notebook Cover for HP Dell",5150.0,8732.0,41.0,/generic-sleeve-case-laptop-bag-for-11-12-13-14-15-15.6-inch-for-ipad-9.7-bags-for-macbook-air-pro-13.3-15.4-notebook-cover-for-hp-dell-193239023.html
9H 2.5D Tempered Glass Film For Nokia 5.1,318.0,397.0,20.0,/generic-9h-2.5d-tempered-glass-film-for-nokia-5.1-207550806.html
New Tactical Belt Quick Release Alloy Buckle Soft Nylon Hunting Hiking Sports,2498.0,4317.0,42.0,/generic-new-tactical-belt-quick-release-alloy-buckle-soft-nylon-hunting-hiking-sports-208561969.html
Minimal Shockproof Computer Liner Bag11/13.3/13.6/14 Inch For Ipad Macbook Pro Xiaomi Hp Dell Lenovo Samsung Notebook Cover,3966.0,6808.0,42.0,/generic-minimal-shockproof-computer-liner-bag1113.313.614-inch-for-ipad-macbook-pro-xiaomi-hp-dell-lenovo-samsung-notebook-cover-193253654.html
"Laptop Bag Notebook Case Tablet Cover Sleeve 11"" 12"" 13"" 15"" 15.6"" For Macbook Matebook Retina 14 inch for Xiaomi Huawei HP Dell",2930.0,5032.0,42.0,/generic-laptop-bag-notebook-case-tablet-cover-sleeve-11-12-13-15-15.6-for-macbook-matebook-retina-14-inch-for-xiaomi-huawei-hp-dell-193260158.html
Fashion Women's Loose Yoga Pants Running Sports Trousers,2900.0,3200.0,9.0,/fashion-womens-loose-yoga-pants-running-sports-trousers-192640255.html
Peel and Stick Wallpaper Roll with 10 Meters S Adhesive Removable Clings Home Decor for Modern Vinyl Waterproof Wall Stickers,8614.0,14800.0,42.0,/generic-peel-and-stick-wallpaper-roll-with-10-meters-s-adhesive-removable-clings-home-decor-for-modern-vinyl-waterproof-wall-stickers-192887332.html
Silicone Car Key Cover Fob Case Jacket Fit For Lexus Ct200h,2317.0,4159.0,44.0,/generic-silicone-car-key-cover-fob-case-jacket-fit-for-lexus-ct200h-206567389.html
13.3 14 16 17.3 inch Laptop Sleeve Bag for MacBook Air 15 M2 A2941 Pro 13 M1 Dell Lenovo HP Asus Men's Women Briefcase Case,8258.0,14208.0,42.0,/generic-13.3-14-16-17.3-inch-laptop-sleeve-bag-for-macbook-air-15-m2-a2941-pro-13-m1-dell-lenovo-hp-asus-mens-women-briefcase-case-193299788.html
Laptop LCD Back Cover/Front Bezel/Hinges/Palmrest/Bottom Case For MSI GP62 6QG GV62 GL62 6QF GP62MVR MS-16J9 GL62M 15.6 Inch,33448.0,57572.0,42.0,/generic-laptop-lcd-back-coverfront-bezelhingespalmrestbottom-case-for-msi-gp62-6qg-gv62-gl62-6qf-gp62mvr-ms-16j9-gl62m-15.6-inch-193252897.html
"For Apple Macbook laptop  Grland Green case M1 Air.Pro11.12.13.15 16""",5624.0,9620.0,42.0,/generic-for-apple-macbook-laptop-grland-green-case-m1-air.pro11.12.13.15-16-193241251.html
SmartDevil Laptop Bag 13.3 14 15.6-inch for Apple Macbook Business Lenovo Pro Notebook  Large-capacity Briefcase Bag,5239.0,8880.0,41.0,/generic-smartdevil-laptop-bag-13.3-14-15.6-inch-for-apple-macbook-business-lenovo-pro-notebook-large-capacity-briefcase-bag-193250820.html
Water Bottle Carrier Water Bottle Carrying Bag Water Bottle Brown,1255.0,1886.0,33.0,/generic-water-bottle-carrier-water-bottle-carrying-bag-water-bottle-brown-207560571.html
Handbrake Cover Handle Generaear Head Refires Hand brake Grip With Logo (Black/Purple/Green/Silver/Orange/Blue/Red),4556.0,7752.0,41.0,/generic-handbrake-cover-handle-generaear-head-refires-hand-brake-grip-with-logo-blackpurplegreensilverorangebluered-207558250.html
Designer Leather Automatic Mens Strap Belt-Black & Gold,2006.0,2890.0,31.0,/generic-designer-leather-automatic-mens-strap-belt-black-gold-207168322.html
Fashion Computer Glasses Thickrimmed Rectangle Eyewear Frames,2266.0,3242.0,30.0,/fashion-computer-glasses-thickrimmed-rectangle-eyewear-frames-206913033.html
Wireless Earphone Mini Bluetooth 5.0 Headset Stereo Earpiece,3143.0,4877.0,36.0,/generic-wireless-earphone-mini-bluetooth-5.0-headset-stereo-earpiece-207530136.html
Year Merry mas Window Sticker mas Decoration Home Santa Wall Sticker Decal mas Party Window Decoration,2516.0,4292.0,41.0,/generic-year-merry-mas-window-sticker-mas-decoration-home-santa-wall-sticker-decal-mas-party-window-decoration-192899026.html
